fn,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,History,Horror,Mystery,Romance,SciFi,Short,Sport,Thriller,War,Western
titles01/tt0012349,tt0012349,Der Vagabund und das Kind (1921),der vagabund und das kind,http://www.imdb.com/title/tt0012349/,8.4,40550,3240,1921,video.movie,1,0,19,96,85,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0015864,tt0015864,Goldrausch (1925),goldrausch,http://www.imdb.com/title/tt0015864/,8.3,45319,5700,1925,video.movie,2,1,35,110,122,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0017136,tt0017136,Metropolis (1927),metropolis,http://www.imdb.com/title/tt0017136/,8.4,81007,9180,1927,video.movie,3,4,67,428,376,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
titles01/tt0017925,tt0017925,Der General (1926),der general,http://www.imdb.com/title/tt0017925/,8.3,37521,6420,1926,video.movie,1,1,53,123,219,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0021749,tt0021749,Lichter der GroÃŸstadt (1931),lichter der gro stadt,http://www.imdb.com/title/tt0021749/,8.7,70057,5220,1931,video.movie,2,0,38,187,186,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
titles01/tt0022100,tt0022100,M (1931),m,http://www.imdb.com/title/tt0022100/,8.5,73726,7020,1931,video.movie,1,0,28,4,254,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
titles01/tt0025316,tt0025316,Es geschah in einer Nacht (1934),es geschah in einer nacht,http://www.imdb.com/title/tt0025316/,8.3,46503,6300,1934,video.movie,4,1,40,183,211,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
titles01/tt0027977,tt0027977,Moderne Zeiten (1936),moderne zeiten,http://www.imdb.com/title/tt0027977/,8.6,90847,5220,1936,video.movie,3,1,44,27,180,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0031381,tt0031381,Vom Winde verweht (1939),vom winde verweht,http://www.imdb.com/title/tt0031381/,8.2,160414,14280,1939,video.movie,10,6,143,1263,653,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
titles01/tt0031679,tt0031679,Mr. Smith geht nach Washington (1939),mr smith geht nach washington,http://www.imdb.com/title/tt0031679/,8.4,58169,7740,1939,video.movie,4,10,34,110,226,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0032138,tt0032138,Der Zauberer von Oz (1939),der zauberer von oz,http://www.imdb.com/title/tt0032138/,8.1,209506,6120,1939,video.movie,6,12,126,2363,477,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0032551,tt0032551,FrÃ¼chte des Zorns (1940),fr chte des zorns,http://www.imdb.com/title/tt0032551/,8.2,45737,7740,1940,video.movie,6,5,20,135,257,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0032553,tt0032553,Der groÃŸe Diktator (1940),der gro e diktator,http://www.imdb.com/title/tt0032553/,8.5,87969,7500,1940,video.movie,5,1,37,181,173,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
titles01/tt0032976,tt0032976,Rebecca (1940),rebecca,http://www.imdb.com/title/tt0032976/,8.3,65670,7800,1940,video.movie,2,9,47,328,241,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
titles01/tt0033467,tt0033467,Citizen Kane (1941),citizen kane,http://www.imdb.com/title/tt0033467/,8.5,228617,7140,1941,video.movie,7,10,103,1439,1101,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
titles01/tt0033870,tt0033870,Die Spur des Falken (1941),die spur des falken,http://www.imdb.com/title/tt0033870/,8.2,86012,6000,1941,video.movie,1,0,67,332,294,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
titles01/tt0034583,tt0034583,Casablanca (1942),casablanca,http://www.imdb.com/title/tt0034583/,8.6,296802,6120,1942,video.movie,5,6,153,382,960,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
titles01/tt0036775,tt0036775,Frau ohne Gewissen (1944),frau ohne gewissen,http://www.imdb.com/title/tt0036775/,8.5,71266,6420,1944,video.movie,3,0,43,231,260,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
